Date,Open,High,Low,Close,Volume,MA7,MA21,MA50,RSI,MACD,MACD_Signal,MACD_Hist,Day_of_Week,Month,Year
2015-10-29,304.3240051269531,318.1700134277344,301.822998046875,313.8550109863281,64495900,291.34157017299106,268.7992873418899,249.29668060302734,86.29139576374037,15.225875122551827,11.205997549392194,4.019877573159633,3,10,2015
2015-10-30,313.9429931640625,334.16900634765625,313.94000244140625,328.0150146484375,78305000,298.70142909458707,272.8032880510603,251.08744079589843,88.8370120300222,17.549430778581325,12.47468419523002,5.074746583351304,4,10,2015
2015-10-31,328.5119934082031,332.7770080566406,309.2510070800781,314.1659851074219,48598100,303.3459995814732,276.09971618652344,252.56862060546874,74.30408624006401,18.065120964180608,13.592771549020139,4.472349415160469,5,10,2015
2015-11-01,315.0050048828125,327.47198486328125,311.8810119628906,325.4309997558594,37001100,309.31042916434154,279.8321446010045,254.37266052246093,77.52484963357715,19.16191505916447,14.706600251049005,4.455314808115466,6,11,2015
2015-11-02,325.9419860839844,365.3599853515625,323.2090148925781,361.1889953613281,101918000,320.15171595982144,285.3502873011998,256.98620056152345,84.26628226951455,22.65534694758901,16.296349590357007,6.358997357232003,0,11,2015
2015-11-03,361.87298583984375,417.8999938964844,357.6470031738281,403.4169921875,206162000,335.81300136021207,292.67928713843935,260.4416604614258,88.61089584414334,28.502800772829005,18.737639826851407,9.765160945977598,1,11,2015
2015-11-04,403.66400146484375,495.56201171875,380.5480041503906,411.56298828125,263900000,351.09085518973217,300.2780485607329,264.06684020996096,89.22878812496606,33.40914404768557,21.67194067101824,11.737203376667331,2,11,2015
2015-11-05,408.0769958496094,447.5610046386719,374.58099365234375,386.35400390625,151824992,361.4478541782924,306.5653817313058,267.21210021972655,75.56583640461119,34.861441090120934,24.30984075483878,10.551600335282153,3,11,2015
2015-11-06,388.0469970703125,395.83599853515625,354.0249938964844,374.4700012207031,122687000,368.0842808314732,311.87971569242933,270.10530029296876,70.11523983445456,34.65398766309511,26.378670136490047,8.275317526605061,4,11,2015
2015-11-07,374.2690124511719,390.58599853515625,372.4330139160156,386.48199462890625,56625100,378.4151393345424,317.39600045340404,273.1754400634766,72.2908393003844,35.05475738487638,28.113887586167316,6.940869798709066,5,11,2015
2015-11-08,384.27801513671875,389.8949890136719,368.70001220703125,373.3680114746094,51817600,385.2632838657924,322.7162388392857,276.0129403686523,66.59116546027832,33.923136631685566,29.275737395270966,4.6473992364146,6,11,2015
2015-11-09,374.3240051269531,385.27801513671875,362.8949890136719,380.2569885253906,68224400,387.9872828892299,328.27909487769716,278.9938400268555,68.01769666202405,33.1994987506817,30.060489666353114,3.1390090843285847,0,11,2015
2015-11-10,379.9840087890625,381.3869934082031,329.1080017089844,336.8190002441406,95797904,378.47328404017856,331.4865228562128,281.18851989746094,52.7290363030895,28.78906546249425,29.806204825581343,-1.017139363087093,1,11,2015
2015-11-11,339.82000732421875,340.5849914550781,300.99700927734375,311.0840148925781,107070000,364.11914498465404,333.62042817615327,282.7978402709961,46.115505370964264,22.952583964074677,28.43548065328001,-5.482896689205333,2,11,2015
2015-11-12,314.0790100097656,345.08099365234375,313.3559875488281,338.1520080566406,78477800,357.233145577567,336.67418997628346,284.95522033691407,52.81854383617705,20.27754425088966,26.80389337280194,-6.526349121912279,3,11,2015
2015-11-13,338.49798583984375,340.91400146484375,326.07501220703125,336.75299072265625,52003000,351.8450012207031,339.5435703822545,286.99970001220703,52.45534091553666,17.83902976803779,25.010920651849112,-7.171890883811322,4,11,2015
2015-11-14,336.6239929199219,338.1809997558594,329.9700012207031,332.906005859375,38612000,344.19128853934154,341.98414248511904,288.9549401855469,51.4085018491245,15.418336953142443,23.09240391210778,-7.674066958965337,5,11,2015
2015-11-15,333.0509948730469,334.6619873046875,317.489990234375,320.1659851074219,44213100,336.5909990583147,343.72157069614957,290.6714599609375,47.992648139454154,12.329777258089791,20.939878581304182,-8.61010132321439,6,11,2015
2015-11-16,319.7349853515625,331.6260070800781,315.9049987792969,330.7510070800781,47980100,329.51871599469865,345.8859049479167,292.63134002685547,50.9111088374803,10.613844466245155,18.874671758292376,-8.260827292047221,0,11,2015
2015-11-17,330.36199951171875,338.3500061035156,329.614013671875,335.093994140625,51001600,329.2722865513393,347.8528573172433,294.55037994384764,52.09883584448725,9.494946295513103,16.99872666573652,-7.503780370223417,1,11,2015
2015-11-18,334.5929870605469,336.531005859375,330.6400146484375,334.5899963378906,43783800,332.63028390066967,349.2800946916853,296.50843994140627,51.94177245483964,8.469907205456309,15.292962773680479,-6.82305556822417,2,11,2015
2015-11-19,334.6789855957031,335.3340148925781,325.27301025390625,326.14898681640625,45011100,330.91556658063615,349.8655221121652,298.3102197265625,49.26310290781805,6.896933857339548,13.613756990412295,-6.716823133072747,3,11,2015
2015-11-20,326.4110107421875,326.4729919433594,312.2170104980469,322.0220031738281,53152900,328.81113978794644,349.5801406133743,299.99967987060546,47.960800513434265,5.256731725847658,11.942351937499367,-6.68562021165171,4,11,2015
2015-11-21,322.0920104980469,328.15899658203125,319.5950012207031,326.927001953125,28200500,327.95699637276783,350.18780808221726,301.79235992431643,49.663977614903615,4.303049255068856,10.414491401013265,-6.111442145944409,5,11,2015
